name,age,keyword,is_crawled,scrawled_count,detected,detected_count
Đoàn Thị Lê An,44,Đại biểu quốc hội Đoàn Thị Lê An,True,47,True,325
Dương Văn An,52,Đại biểu quốc hội Dương Văn An,True,48,True,452
Lê Thị Song An,45,Đại biểu quốc hội Lê Thị Song An,True,39,True,285
Nguyễn Văn An,54,Đại biểu quốc hội Nguyễn Văn An,True,63,True,292
Trần Thị Hồng An,51,Đại biểu quốc hội Trần Thị Hồng An,True,41,True,320
Trịnh Xuân An,41,Đại biểu quốc hội Trịnh Xuân An,True,64,True,415
Phạm Đức Ấn,53,Đại biểu quốc hội Phạm Đức Ấn,True,42,True,214
Bế Trung Anh,56,Đại biểu quốc hội Bế Trung Anh,True,65,True,660
Lê Hoàng Anh,49,Đại biểu quốc hội Lê Hoàng Anh,True,57,True,540
Nguyễn Hải Anh,55,Đại biểu quốc hội Nguyễn Hải Anh,True,33,True,138
Nguyễn Thị Kim Anh,50,Đại biểu quốc hội Nguyễn Thị Kim Anh,True,48,True,612
Nguyễn Thị Lan Anh,42,Đại biểu quốc hội Nguyễn Thị Lan Anh,True,59,True,488
Nguyễn Thúy Anh,59,Đại biểu quốc hội Nguyễn Thúy Anh,True,54,True,518
Nguyễn Trúc Anh,48,Đại biểu quốc hội Nguyễn Trúc Anh,True,51,True,239
Nguyễn Tuấn Anh,58,Đại biểu quốc hội Nguyễn Tuấn Anh,True,93,True,327
Trần Tuấn Anh,59,Đại biểu quốc hội Trần Tuấn Anh,True,55,True,225
Trần Việt Anh,47,Đại biểu quốc hội Trần Việt Anh,True,40,True,281
Trịnh Thị Tú Anh,42,Đại biểu quốc hội Trịnh Thị Tú Anh,True,49,True,246
Vũ Tuấn Anh,53,Đại biểu quốc hội Vũ Tuấn Anh,True,47,True,234
Dương Minh Ánh,47,Đại biểu quốc hội Dương Minh Ánh,True,54,True,287
Trương Thị Ngọc Ánh,56,Đại biểu quốc hội Trương Thị Ngọc Ánh,True,59,True,278
Đồng Ngọc Ba,50,Đại biểu quốc hội Đồng Ngọc Ba,True,64,True,561
Tống Văn Băng,48,Đại biểu quốc hội Tống Văn Băng,True,73,True,622
Nguyễn Ngọc Bảo,56,Đại biểu quốc hội Nguyễn Ngọc Bảo,True,38,True,222
Nguyễn Thị Kim Bé,54,Đại biểu quốc hội Nguyễn Thị Kim Bé,True,69,True,444
